City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain(inches),Snow(inches)
103,Saskylakh,RU,71.92,114.08,72.97,44,100,4.9,light rain,0.13,0.13
104,Deori Khas,IN,23.4,79.02,79.12,77,75,12.33,broken clouds,0.0,0.0
105,Yevsino,RU,54.42,83.32,42.91,93,2,5.91,clear sky,0.0,0.0
106,Usogorsk,RU,63.41,48.69,43.32,73,98,11.74,overcast clouds,0.0,0.0
107,Terme,TR,41.21,36.97,71.6,83,75,2.24,broken clouds,0.0,0.0
108,Yellowknife,CA,62.46,-114.35,69.8,35,20,19.46,few clouds,0.0,0.0
109,Byron Bay,AU,-28.65,153.62,54.0,93,90,7.81,overcast clouds,0.0,0.0
110,Kumla,SE,59.13,15.14,73.4,53,34,12.75,scattered clouds,0.0,0.0
111,Majene,ID,-3.54,118.97,77.16,88,96,12.73,overcast clouds,0.0,0.0
112,Hilo,US,19.73,-155.09,82.4,54,1,5.82,clear sky,0.0,0.0
113,Yulara,AU,-25.24,130.99,39.2,51,0,3.36,clear sky,0.0,0.0
114,Vaini,TO,-21.2,-175.2,75.2,83,40,5.82,scattered clouds,0.0,0.0
115,Honningsvag,NO,70.98,25.97,44.37,82,0,5.06,clear sky,0.0,0.0
116,Georgetown,MY,5.41,100.34,82.4,83,20,4.7,few clouds,0.0,0.0
117,Sivaki,RU,52.63,126.75,54.75,98,96,7.96,moderate rain,1.01,1.01
118,Rio Gallegos,AR,-51.62,-69.22,39.2,80,40,14.99,scattered clouds,0.0,0.0
119,Vardo,NO,70.37,31.11,43.56,83,3,3.53,clear sky,0.0,0.0
120,Mar Del Plata,AR,-38.0,-57.56,55.99,71,100,3.36,overcast clouds,0.0,0.0
121,Vanavara,RU,60.34,102.28,57.42,71,52,2.82,broken clouds,0.0,0.0
122,Katsuura,JP,35.13,140.3,71.01,90,72,3.2,light rain,0.12,0.12
123,Conde,BR,-7.26,-34.91,78.8,83,75,12.75,broken clouds,0.0,0.0
124,Hofn,IS,64.25,-15.21,51.49,91,62,6.17,broken clouds,0.0,0.0
125,Santa Luzia,BR,-19.77,-43.85,77.0,44,20,5.82,few clouds,0.0,0.0
126,Narsaq,GL,60.92,-46.05,53.6,37,75,4.7,broken clouds,0.0,0.0
127,Urucara,BR,-2.54,-57.76,83.41,81,94,3.83,light rain,0.53,0.53
128,Walvis Bay,NA,-22.96,14.51,69.8,34,1,6.93,clear sky,0.0,0.0
129,Mahibadhoo,MV,3.78,72.97,83.82,77,100,12.37,overcast clouds,0.0,0.0
130,Kavaratti,IN,10.57,72.64,83.95,75,98,15.99,moderate rain,2.08,2.08
131,Ascension,US,30.22,-90.9,93.99,45,40,5.82,scattered clouds,0.0,0.0
132,Hermanus,ZA,-34.42,19.23,57.0,91,83,11.16,light rain,0.13,0.13
133,Bykovo,RU,55.64,38.08,66.99,88,40,8.95,scattered clouds,0.0,0.0
134,Alofi,NU,-19.06,-169.92,73.4,88,100,12.75,overcast clouds,0.0,0.0
135,Tiksi,RU,71.69,128.87,64.58,43,0,4.74,clear sky,0.0,0.0
136,Cidreira,BR,-30.18,-50.21,69.6,90,56,1.77,light rain,0.38,0.38
137,Qaanaaq,GL,77.48,-69.36,40.23,70,100,8.3,overcast clouds,0.0,0.0
138,Severo-Kurilsk,RU,50.68,156.12,42.58,91,100,16.53,overcast clouds,0.0,0.0
139,San Cristobal,VE,7.77,-72.22,87.8,48,40,25.28,scattered clouds,0.0,0.0
140,Touros,BR,-5.2,-35.46,78.8,78,40,11.41,scattered clouds,0.0,0.0
141,Dudinka,RU,69.41,86.18,48.2,81,75,11.18,broken clouds,0.0,0.0
142,Fortuna,US,40.6,-124.16,68.0,72,20,16.11,few clouds,0.0,0.0
143,Arraial Do Cabo,BR,-22.97,-42.03,78.8,74,0,9.17,clear sky,0.0,0.0
144,Cam Ranh,VN,11.92,109.16,86.0,79,40,9.17,scattered clouds,0.0,0.0
145,Terney,RU,45.05,136.61,48.36,86,93,1.1,overcast clouds,0.0,0.0
146,Ust-Omchug,RU,61.15,149.63,55.47,70,0,3.29,clear sky,0.0,0.0
147,West Wendover,US,40.74,-114.07,80.6,19,1,9.17,clear sky,0.0,0.0
148,Clyde River,CA,70.47,-68.59,41.0,93,20,8.05,few clouds,0.0,0.0
149,Trairi,BR,-3.28,-39.27,80.29,77,5,10.18,light rain,0.18,0.18
