City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
260,Slave Lake,CA,73.4,haze,55.28,-114.77,Super 8 by Wyndham Slave Lake AB
261,Nador,MA,77.0,clear sky,35.17,-2.93,Hôtel La Giralda
262,Cabedelo,BR,78.8,broken clouds,-6.98,-34.83,Lua Mansa Pousada
266,Labuhan,ID,76.66,broken clouds,-6.88,112.21,bador sepret
267,Nisia Floresta,BR,82.4,broken clouds,-6.09,-35.21,Rancho Crepusculo
271,San Patricio,MX,87.8,broken clouds,19.22,-104.7,Hotel Cabo Blanco
273,San Ramon De La Nueva Oran,AR,85.5,clear sky,-23.13,-64.33,Hotel Residencial Centro
275,Tabou,CI,78.31,overcast clouds,4.42,-7.35,hotêl doufoulougou
277,Prabumulih,ID,72.54,broken clouds,-3.45,104.25,OYO 2722 Lemon Residence Prabumulih
278,Pabellon De Arteaga,MX,80.6,scattered clouds,22.15,-102.25,Rancho Alegre
280,Sitangkai,PH,84.29,broken clouds,4.66,119.39,
282,Salta,AR,77.0,clear sky,-24.79,-65.41,Hotel Alejandro I
284,Beyneu,KZ,78.62,broken clouds,45.32,55.2,NUR
285,Fort Frances,CA,70.0,overcast clouds,48.6,-93.4,LA PLACE RENDEZ-VOUS
293,Fort Nelson,CA,78.8,broken clouds,58.81,-122.7,The Fort Nelson Hotel
295,Saint-Georges,GD,86.0,scattered clouds,12.06,-61.75,Radisson Grenada Beach Resort
297,Peniche,PT,71.01,clear sky,39.36,-9.38,Hotel Star inn Peniche
298,Pedro Juan Caballero,PY,84.2,scattered clouds,-22.55,-55.73,Hotel Pousada do Bosque
300,Piranhas,BR,84.07,clear sky,-16.43,-51.82,Hotel Brasil
301,Jiujiang,CN,71.19,overcast clouds,29.73,115.98,Tianhai Fashion Theme Hotel
302,Srednekolymsk,RU,79.66,clear sky,67.45,153.68,
303,Bilibino,RU,74.28,overcast clouds,68.05,166.44,Gostinitsa Severyanka
305,Ugoofaaru,MV,83.88,overcast clouds,5.67,73.0,Ungoofaaru Inn
306,Cap Malheureux,MU,72.0,overcast clouds,-19.98,57.61,Pereybere Hotel & Spa
310,Jacmel,HT,89.6,few clouds,18.23,-72.53,Hotel Florita
311,Trinidad,BO,89.6,few clouds,-14.83,-64.9,Hotel Piesta
314,Cherskiy,RU,78.98,overcast clouds,68.75,161.3,Gostinitsa
316,Lazaro Cardenas,MX,88.95,scattered clouds,17.96,-102.2,Hotel Quinta Antigua
319,Palauig,PH,80.94,clear sky,15.44,119.9,Myhousebythesea
321,Orangeburg,US,89.01,few clouds,33.49,-80.86,Palmetto Inn & Suites
322,Mahajanga,MG,73.4,scattered clouds,-15.72,46.32,Restaurant Greedy Coco Lodge Majunga
323,Ponta Do Sol,PT,71.6,scattered clouds,32.67,-17.1,Hotel do Campo
325,Dubreka,GN,82.4,scattered clouds,9.79,-13.52,Hôtel le Semeur Chez Eva
326,Praya,CV,78.8,few clouds,14.92,-23.51,LT Aparthotel
327,Bud,US,90.0,clear sky,39.45,-86.18,Madsion Scouts Camp
330,Ambanja,MG,70.56,clear sky,-13.68,48.45,Hotel Marrakech
331,Wanning,CN,81.25,clear sky,18.8,110.4,Paradise Hotel
333,Dingle,PH,77.77,clear sky,11.0,122.67,Camp Pasica
335,Pachino,IT,75.2,clear sky,36.72,15.09,La Vignazza B&B
340,Fuxin,CN,71.82,scattered clouds,42.02,121.66,Xinya International Hotel
341,Port Blair,IN,82.51,broken clouds,11.67,92.75,Hotel Sentinel
342,Puerto Baquerizo Moreno,EC,77.0,scattered clouds,-0.9,-89.6,Hotel los Algarrobos
350,Pierre,US,82.0,thunderstorm,44.37,-100.35,Ramkota Hotel
351,Pagudpud,PH,79.95,clear sky,18.56,120.79,Saud Beach Resort and Hotel - 2
355,Deoband,IN,86.74,clear sky,29.7,77.68,Shivam Pal (www.oxtricks.com)
356,Pacifica,US,70.0,scattered clouds,37.61,-122.49,"Pacifica Lighthouse, Trademark Collection by Wyndham"
357,Tarimoro,MX,82.4,broken clouds,20.28,-100.75,Auto Lavado Privado
364,Namatanai,PG,79.95,broken clouds,-3.67,152.43,Namatanai Hotel
366,Fergus Falls,US,71.01,clear sky,46.28,-96.08,AmericInn by Wyndham Fergus Falls Conference Center
368,Payson,US,73.4,few clouds,40.04,-111.73,Quality Inn Payson I-15
373,Ca Mau,VN,76.82,overcast clouds,9.18,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
375,Medicine Hat,CA,75.0,few clouds,50.05,-110.67,Ramada Limited Medicine Hat
